iter	MultiClass
0	1.029121802
1	0.9718003718
2	0.9314524281
3	0.8948368044
4	0.8681593516
5	0.8401101382
6	0.8189038079
7	0.8003368694
8	0.7822957428
9	0.7675712581
10	0.7550646395
11	0.7438442698
12	0.7331038129
13	0.7241348574
14	0.7177402846
15	0.7099484249
16	0.7026287247
17	0.6964861967
18	0.6908746771
19	0.6857448551
20	0.6795753913
21	0.6744532028
22	0.6706042104
23	0.6676998012
24	0.6633175813
25	0.6591121348
26	0.6564919357
27	0.6536900362
28	0.6512818908
29	0.6485322548
30	0.6461504453
31	0.6437822697
32	0.6403391586
33	0.6385423536
34	0.6364905507
35	0.6335520089
36	0.6310208115
37	0.6286581485
38	0.627209322
39	0.6256083816
40	0.6238003466
41	0.6222444539
42	0.621009421
43	0.6199492224
44	0.6185687247
45	0.616698275
46	0.6155539414
47	0.6143474625
48	0.6133294601
49	0.6115060569
50	0.6096074562
51	0.6082422715
52	0.6069712496
53	0.6050491486
54	0.6039813707
55	0.602629013
56	0.6009281373
57	0.5999014126
58	0.598643326
59	0.5976416611
60	0.5966327761
61	0.5959121512
62	0.5946874456
63	0.5944418811
64	0.5937294113
65	0.5928471612
66	0.5921129279
67	0.591790899
68	0.5909808895
69	0.5903026791
70	0.5898537379
71	0.5891003647
72	0.5882707349
73	0.587627152
74	0.5863520098
75	0.5856086772
76	0.5845930697
77	0.584180691
78	0.583551653
79	0.5829443693
80	0.5827036563
81	0.5823109209
82	0.5818116869
83	0.5813977497
84	0.5802611375
85	0.5796219091
86	0.5787455533
87	0.5778634627
88	0.57706795
89	0.5765476607
90	0.5759747211
91	0.5747858592
92	0.5742981193
93	0.5737285539
94	0.5728228021
95	0.5725128257
96	0.5716363928
97	0.5712107006
98	0.5704379877
99	0.5698680731
