iter	Passed	Remaining
0	2	224
1	4	210
2	6	214
3	8	205
4	10	198
5	12	193
6	14	191
7	16	186
8	18	182
9	20	182
10	22	178
11	24	176
12	25	171
13	27	169
14	29	167
15	31	165
16	33	165
17	35	163
18	37	160
19	39	157
20	41	155
21	43	153
22	45	151
23	47	149
24	49	147
25	51	145
26	53	143
27	55	141
28	57	140
29	58	137
30	60	135
31	62	132
32	64	130
33	65	127
34	68	126
35	70	124
36	72	123
37	74	121
38	76	119
39	78	117
40	80	115
41	82	113
42	84	111
43	86	109
44	88	107
45	89	105
46	91	103
47	93	101
48	95	99
49	97	97
50	99	95
51	101	93
52	103	91
53	104	89
54	107	87
55	109	85
56	111	84
57	114	82
58	116	80
59	119	79
60	121	77
61	123	75
62	126	74
63	128	72
64	130	70
65	132	68
66	134	66
67	136	64
68	138	62
69	141	60
70	143	58
71	145	56
72	147	54
73	149	52
74	151	50
75	153	48
76	155	46
77	157	44
78	159	42
79	161	40
80	163	38
81	166	36
82	168	34
83	170	32
84	172	30
85	174	28
86	177	26
87	179	24
88	180	22
89	182	20
90	185	18
91	186	16
92	188	14
93	191	12
94	192	10
95	194	8
96	196	6
97	199	4
98	200	2
99	203	0
